Iter 0000 | Total Loss 0.010498 
Iter 0000 | Total Loss 0.533810 
Iter 0010 | Total Loss 0.032755 
Iter 0000 | Total Loss 0.039362 
Iter 0010 | Total Loss 0.005516 
Iter 0000 | Total Loss 0.062188 
Iter 0010 | Total Loss 0.003672 
Iter 0020 | Total Loss 0.001618 
Iter 0030 | Total Loss 0.001707 
Iter 0040 | Total Loss 0.001070 
Iter 0050 | Total Loss 0.001547 
Iter 0000 | Total Loss 0.083499 
Iter 0010 | Total Loss 0.018788 
Iter 0020 | Total Loss 0.003781 
Iter 0030 | Total Loss 0.002837 
Iter 0040 | Total Loss 0.001826 
Iter 0050 | Total Loss 0.001973 
Iter 0060 | Total Loss 0.001491 
Iter 0070 | Total Loss 0.000852 
Iter 0080 | Total Loss 0.000746 
Iter 0090 | Total Loss 0.000730 
Iter 0100 | Total Loss 0.000586 
Iter 0110 | Total Loss 0.000534 
Iter 0120 | Total Loss 0.000763 
Iter 0130 | Total Loss 0.000358 
Iter 0140 | Total Loss 0.000686 
Iter 0150 | Total Loss 0.000405 
Iter 0160 | Total Loss 0.000491 
Iter 0170 | Total Loss 0.000309 
Iter 0180 | Total Loss 0.000308 
Iter 0190 | Total Loss 0.000452 
